idx,department,remote,fulltime,hasCommunicationIssues
0,Business,False,True,False
1,Business,False,False,False
2,Business,False,True,False
3,Business,False,False,False
4,Business,True,False,True
5,Business,False,True,False
6,Business,False,False,False
7,Business,True,True,False
8,Business,False,True,False
9,Business,False,True,False
10,Administration,False,False,False
11,Administration,False,True,False
12,Administration,False,False,False
13,Administration,False,False,False
14,Administration,False,True,False
15,Administration,True,False,False
16,Administration,False,True,False
17,Administration,False,True,False
18,Administration,True,True,False
19,Administration,False,True,False
20,Sales,False,False,False
21,Sales,False,True,False
22,Sales,False,True,False
23,Sales,False,False,False
24,Sales,False,True,False
25,Sales,True,True,True
26,Sales,False,True,False
27,Sales,False,False,False
28,Sales,True,True,False
29,Sales,False,False,True
30,Marketing,True,False,True
31,Marketing,True,True,False
32,Marketing,True,True,False
33,Marketing,True,True,False
34,Marketing,False,True,False
35,Marketing,False,True,False
36,Marketing,False,True,False
37,Marketing,False,True,False
38,Marketing,False,True,False
39,Marketing,False,True,False
40,Research,True,True,False
41,Research,False,True,False
42,Research,True,True,False
43,Research,False,True,False
44,Research,True,True,False
45,Research,False,True,False
46,Research,False,False,False
47,Research,True,True,False
48,Research,True,False,False
49,Research,False,True,False
50,Research,True,True,False
51,Research,False,False,False
52,Research,True,True,False
53,Research,True,True,False
54,Research,False,True,False
55,Research,False,True,False
56,Research,True,True,True
57,Research,True,True,False
58,Research,True,False,False
59,Research,False,True,False
60,DevFrontend,False,True,False
61,DevFrontend,False,True,True
62,DevFrontend,False,True,False
63,DevFrontend,True,True,False
64,DevFrontend,False,True,False
65,DevFrontend,False,True,False
66,DevFrontend,True,True,False
67,DevFrontend,False,True,False
68,DevFrontend,False,True,False
69,DevFrontend,False,False,False
70,DevFrontend,False,True,False
71,DevFrontend,False,True,False
72,DevFrontend,False,False,False
73,DevFrontend,False,True,False
74,DevFrontend,False,False,False
75,DevFrontend,False,True,False
76,DevFrontend,True,False,False
77,DevFrontend,True,True,False
78,DevFrontend,True,False,False
79,DevFrontend,True,True,False
80,DevBackend,True,True,False
81,DevBackend,False,True,False
82,DevBackend,False,True,False
83,DevBackend,False,False,False
84,DevBackend,False,False,False
85,DevBackend,False,True,False
86,DevBackend,False,False,False
87,DevBackend,False,True,False
88,DevBackend,False,True,False
89,DevBackend,True,True,False
90,DevBackend,True,False,False
91,DevBackend,True,True,False
92,DevBackend,True,True,False
93,DevBackend,True,False,False
94,DevBackend,False,True,True
95,DevBackend,False,True,False
96,DevBackend,True,True,False
97,DevBackend,True,True,False
98,DevBackend,True,True,False
99,DevBackend,False,True,False
